id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,status,chance_of_playing_next_round,news,news_added,form,total_points,points_per_game,minutes,starts,selected_by_percent,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,value_season,ep_this,ep_next
1,Raya,David,Raya Martín,1,1,60,0,0,a,,,,5.0,15,5.0,270,3,38.6,58811,41762,0,0,2,1,0,0,5,0,60,17.4,0.0,0.0,1.8,0.00,0.00,0.00,0.0,0.0,0.0,0.29,0,0.0,,,,2.5,5.0,5.0
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,49,-1,-1,a,,,,0.0,0,0.0,0,0,0.1,132,265,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
3,Meslier,Illan,Meslier,1,1,49,-1,-1,a,,,,0.0,0,0.0,0,0,0.0,54,115,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
4,Gabriel,Gabriel,dos Santos Magalhães,1,2,80,0,0,a,,,,5.0,15,5.0,270,3,25.3,14310,60565,0,0,2,1,1,0,0,0,54,24.8,5.0,7.0,3.6,0.49,0.05,0.54,0.16,0.02,0.18,0.29,21,7.0,,,,1.9,5.0,5.0
5,J.Timber,Jurriën,Timber,1,2,65,0,0,d,25,Groin injury - 25% chance of playing,2026-07-23T12:01:23.272929Z,0.0,0,0.0,0,0,0.1,267,494,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
6,Saliba,William,Saliba,1,2,60,0,0,i,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0.0,0,0.0,0,0,0.2,343,1330,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
7,Lewis-Skelly,Myles,Lewis-Skelly,1,3,55,0,0,a,,,,2.7,8,2.7,226,3,0.7,2484,2671,0,0,2,1,0,0,0,0,35,21.6,26.1,12.0,6.0,0.16,0.23,0.39,0.06,0.09,0.15,0.31,14,5.58,,,,1.5,2.7,2.7
8,Calafiori,Riccardo,Calafiori,1,2,57,2,0,a,,,,7.3,22,7.3,236,3,46.6,128550,18960,0,2,2,1,0,0,0,2,61,47.2,24.1,13.0,8.4,0.59,0.58,1.17,0.22,0.22,0.44,0.24,9,3.43,,,,3.9,7.3,7.3
9,Hincapie,Piero,Hincapié,1,2,53,-2,-1,a,,,,0.7,2,1.0,32,0,1.1,1375,5910,0,0,0,0,0,0,0,0,6,0.4,0.5,0.0,0.1,0.00,0.00,0.00,0.0,0.0,0.0,0.73,3,8.44,,,,0.4,0.7,0.7
10,White,Benjamin,White,1,2,55,0,0,a,100,,2026-07-23T12:01:23.305229Z,6.7,20,6.7,270,3,7.7,38647,27051,0,1,2,1,0,0,0,3,74,49.6,47.1,13.0,11.0,0.18,0.29,0.47,0.06,0.1,0.16,0.29,15,5.0,,,,3.6,6.7,6.7
11,Mosquera,Cristhian,Mosquera,1,2,55,0,0,d,75,Unspecified injury - 75% chance of playing,2026-09-04T14:00:08.080310Z,4.0,12,6.0,168,2,4.0,415,43615,0,0,2,0,0,0,0,0,52,24.6,2.0,0.0,2.7,0.00,0.01,0.01,0.0,0.01,0.01,0.28,10,5.36,,,,2.2,3.0,3.0
12,Saka,Bukayo,Saka,1,3,95,0,0,a,,,,7.3,22,7.3,246,3,11.2,54641,24895,2,0,2,1,0,0,0,4,95,83.8,34.1,77.0,19.5,1.53,0.35,1.88,0.56,0.13,0.69,0.27,22,8.05,1,2,2,2.3,7.3,7.3
13,Rice,Declan,Rice,1,3,74,-1,-1,a,,,,4.3,13,4.3,241,3,14.0,7604,38458,0,1,2,1,0,0,0,0,51,30.8,34.0,2.0,6.7,0.11,0.33,0.44,0.04,0.12,0.16,0.28,24,8.96,,1,1,1.8,4.3,4.3
14,Eze,Eberechi,Eze,1,3,64,-1,0,a,,,,0.7,2,1.0,59,0,1.4,1700,7744,0,0,0,0,0,0,0,0,10,1.6,3.8,3.0,0.7,0.04,0.07,0.11,0.06,0.11,0.17,0.59,5,7.63,,,3,0.3,0.7,0.7
15,Ødegaard,Martin,Ødegaard,1,3,66,1,0,a,,,,8.0,24,8.0,221,3,11.6,70024,27348,2,0,2,1,0,0,0,6,101,57.4,48.3,36.0,14.2,0.99,1.05,2.04,0.4,0.43,0.83,0.26,16,6.52,3,4,4,3.6,8.0,8.0
16,Madueke,Noni,Madueke,1,3,63,-2,0,a,,,,0.7,2,1.0,23,0,0.2,690,1281,0,0,0,0,0,0,0,0,11,9.4,43.1,0.0,5.3,0.00,0.05,0.05,0.0,0.2,0.2,0.59,3,11.74,,6,,0.3,0.7,0.7
17,Merino,Mikel,Merino Zazón,1,3,59,-1,0,a,,,,0.7,2,0.7,46,0,0.5,754,3129,0,0,0,0,1,0,0,0,12,6.4,2.2,14.0,2.3,0.14,0.02,0.16,0.27,0.04,0.31,0.47,6,11.74,,,,0.3,0.7,0.7
18,Martinelli,Gabriel,Martinelli Silva,1,3,63,-2,0,u,0,Has joined Al Hilal permanently,2026-09-04T12:34:46.738449Z,0.0,0,0.0,0,0,0.1,0,3113,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
19,Zubimendi,Martín,Zubimendi Ibáñez,1,3,54,-1,0,a,,,,1.0,3,1.0,50,0,0.8,695,3413,0,0,0,0,0,0,0,0,9,8.6,3.2,0.0,1.2,0.08,0.05,0.13,0.14,0.09,0.23,0.47,9,16.2,,,,0.6,1.0,1.0
20,Dowman,Max,Dowman,1,3,54,-1,0,a,,,,0.0,0,0.0,0,0,0.1,184,428,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
22,Nwaneri,Ethan,Nwaneri,1,3,54,-1,0,u,0,Has joined Borussia Dortmund on loan for the rest of the season,2026-09-02T16:01:07.058827Z,0.0,0,0.0,0,0,0.0,0,163,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
23,Fábio Vieira,Fábio,Ferreira Vieira,1,3,55,0,0,u,0,Has joined Hamburger SV permanently,2026-09-02T16:00:28.446370Z,0.0,0,0.0,0,0,0.0,0,121,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
24,Nelson,Reiss,Nelson,1,3,55,0,0,u,0,has departed the club as a free agent.,2026-08-29T00:33:08.556767Z,0.0,0,0.0,0,0,0.0,0,41,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
25,Gyökeres,Viktor,Gyökeres,1,4,73,-2,0,a,,,,0.3,1,1.0,12,0,4.3,2692,26013,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.68,1,7.5,2,,,0.1,0.3,0.3
26,Havertz,Kai,Havertz,1,4,75,0,0,a,,,,5.3,16,5.3,257,3,6.9,34750,22736,2,0,2,1,0,0,0,2,77,39.6,16.6,48.0,10.4,0.54,0.40,0.94,0.19,0.14,0.33,0.28,8,2.8,,,,2.1,5.3,5.3
