id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,status,chance_of_playing_next_round,news,news_added,form,total_points,points_per_game,minutes,starts,selected_by_percent,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,value_season,ep_this,ep_next
1,Raya,David,Raya Martín,1,1,60,0,0,a,,,,4.0,16,4.0,279,4,39.0,6741,4843,0,0,2,1,0,0,5,0,63,46.2,0.0,0.0,4.7,0.00,0.01,0.01,0.0,0.0,0.0,0.3,0,0.0,,,,2.7,4.0,4.0
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,49,-1,0,a,,,,0.0,0,0.0,0,0,0.1,6,35,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
3,Meslier,Illan,Meslier,1,1,49,-1,0,a,,,,0.0,0,0.0,0,0,0.0,8,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
4,Gabriel,Gabriel,dos Santos Magalhães,1,2,80,0,0,a,,,,4.0,16,4.0,279,4,23.8,1822,8386,0,0,2,1,1,0,0,0,57,48.4,7.4,83.0,13.8,0.49,0.05,0.54,0.16,0.02,0.18,0.3,21,6.77,,,,2.0,4.0,4.0
5,J.Timber,Jurriën,Timber,1,2,65,0,0,a,100,,2026-07-23T12:01:23.272929Z,0.0,0,0.0,0,0,0.1,115,65,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
6,Saliba,William,Saliba,1,2,59,-1,0,i,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0.0,0,0.0,0,0,0.2,46,170,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
7,Lewis-Skelly,Myles,Lewis-Skelly,1,3,55,0,0,a,,,,2.2,9,2.2,235,4,0.7,286,601,0,0,2,1,0,0,0,0,37,21.6,38.8,16.0,7.0,0.16,0.23,0.39,0.06,0.09,0.15,0.31,14,5.36,,,,1.6,2.2,2.2
8,Calafiori,Riccardo,Calafiori,1,2,58,3,0,a,,,,5.8,23,5.8,245,4,49.3,16739,2725,0,2,2,1,0,0,0,2,64,51.6,27.3,39.0,11.8,0.60,0.58,1.18,0.22,0.21,0.43,0.24,9,3.31,,,,4.0,5.8,5.8
9,Hincapie,Piero,Hincapié,1,2,53,-2,0,a,,,,0.5,2,1.0,32,0,1.0,280,809,0,0,0,0,0,0,0,0,6,6.4,1.0,2.0,1.0,0.00,0.00,0.00,0.0,0.0,0.0,0.79,3,8.44,,,,0.4,0.5,0.5
10,White,Benjamin,White,1,2,55,0,0,a,100,,2026-07-23T12:01:23.305229Z,5.2,21,5.2,279,4,7.6,4400,2992,0,1,2,1,0,0,0,3,77,65.4,52.2,23.0,14.1,0.18,0.29,0.47,0.06,0.09,0.15,0.3,16,5.16,,,,3.8,5.2,5.2
11,Mosquera,Cristhian,Mosquera,1,2,54,-1,0,d,50,Muscular injury - 50% chance of playing,2026-09-04T14:00:08.080310Z,3.0,12,6.0,168,2,2.4,14,6179,0,0,2,0,0,0,0,0,52,24.6,2.0,0.0,2.7,0.00,0.01,0.01,0.0,0.01,0.01,0.28,10,5.36,,,,2.2,1.5,1.5
